"year","sex","age","region","happiness","educ","race","work","marital","age_ranges","year_ranges"
1972,"F",44,"Middle Atlantic","Very happy","3rd grade","white","Keeping house","Married","44 to 45","1972 to 1973"
1972,"F",25,"Middle Atlantic","Pretty happy","9th grade","white","Keeping house","Divorced","24 to 25","1972 to 1973"
1972,"M",32,"Middle Atlantic","Pretty happy","10th grade","white","Working full time","Married","32 to 33","1972 to 1973"
1972,"F",33,"Middle Atlantic","Very happy","1 year of college","white","Keeping house","Married","32 to 33","1972 to 1973"
1972,"M",48,"Middle Atlantic","Very happy","11th grade","white","Working full time","Married","48 to 49","1972 to 1973"
1972,"M",45,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","44 to 45","1972 to 1973"
1972,"F",45,"Middle Atlantic","Not too happy","10th grade","white","Keeping house","Widowed","44 to 45","1972 to 1973"
1972,"M",72,"Middle Atlantic","Very happy","7th grade","white","Retired","Married","72 to 73","1972 to 1973"
1972,"F",45,"Middle Atlantic","Pretty happy","9th grade","Black","Keeping house","Sepreated","44 to 45","1972 to 1973"
1972,"F",70,"Middle Atlantic","Not too happy","6th grade","Black","With a job, but not at work because of temporary illness, vacation, strike","Sepreated","70 to 71","1972 to 1973"
1972,"F",31,"Middle Atlantic","Pretty happy","2 years of college","Black","Working full time","Married","30 to 31","1972 to 1973"
1972,"M",20,"Middle Atlantic","Pretty happy","12th grade","Black","Other","Never married","20 to 21","1972 to 1973"
1972,"F",22,"Middle Atlantic","Pretty happy","9th grade","Black","Keeping house","Sepreated","22 to 23","1972 to 1973"
1972,"M",63,"Middle Atlantic","Pretty happy","4th grade","Black","Retired","Married","62 to 63","1972 to 1973"
1972,"M",70,"Middle Atlantic","Pretty happy","6th grade","Black","Retired","Married","70 to 71","1972 to 1973"
1972,"M",68,"Middle Atlantic","Very happy","11th grade","white","Retired","Married","68 to 69","1972 to 1973"
1972,"F",43,"New England","Very happy","12th grade","white","Working part time","Married","42 to 43","1972 to 1973"
1972,"F",53,"New England","Pretty happy","5 years of college","white","Working full time","Married","52 to 53","1972 to 1973"
1972,"F",44,"New England","Pretty happy","12th grade","white","Keeping house","Married","44 to 45","1972 to 1973"
1972,"F",37,"New England","Pretty happy","3 years of collage","white","With a job, but not at work because of temporary illness, vacation, strike","Married","36 to 37","1972 to 1973"
1972,"M",55,"New England","Pretty happy","12th grade","white","Working full time","Married","54 to 55","1972 to 1973"
1972,"M",52,"New England","Very happy","2 years of college","white","Working full time","Married","52 to 53","1972 to 1973"
1972,"M",64,"New England","Pretty happy","10th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Married","64 to 65","1972 to 1973"
1972,"M",64,"Middle Atlantic","Pretty happy","11th grade","white","Retired","Never married","64 to 65","1972 to 1973"
