"sex","happiness","region","year","count","perc"
"F","Very happy","South Atlantic","2020's",0,0
"M","Not too happy","South Atlantic","2020's",0,0
"M","Pretty happy","South Atlantic","2020's",0,0
"M","Very happy","South Atlantic","2020's",0,0
"F","Not too happy","West North Central","2020's",226,20
"F","Pretty happy","West North Central","2020's",677,59.9115044247788
"F","Very happy","West North Central","2020's",227,20.0884955752212
"M","Not too happy","West North Central","2020's",246,24.2603550295858
"M","Pretty happy","West North Central","2020's",563,55.5226824457594
"M","Very happy","West North Central","2020's",205,20.2169625246548
"F","Not too happy","West South Central","2020's",0,0
"F","Pretty happy","West South Central","2020's",0,0
"F","Very happy","West South Central","2020's",0,0
"M","Not too happy","West South Central","2020's",0,0
"M","Pretty happy","West South Central","2020's",0,0
"M","Very happy","West South Central","2020's",0,0
